Instrument:,H2S-230807479
Time Zone Offset (Minutes):,-240
Orignal File Name:,F:\Pretreat\H2S Odalog Data\Acrulog Raw Data\phils 06-03 to 07-01.acrudata
Session ID:,13921
Session 1st Title:,phils 06-03 to 07-01
Session Start:,"6/3/2024, 12:17:27 PM"
Session End:,"7/1/2024, 1:12:27 PM"

Time Stamp,Battery (Volts),Temperature (°F),Humidity (%),H2S (PPM),ISO time
"6/3/2024, 12:17:27 PM",3.649,73.4,63.9,0,2024-06-03T16:17:27.000Z
"6/3/2024, 12:22:27 PM",3.649,75.4,64.1,0,2024-06-03T16:22:27.000Z
"6/3/2024, 12:27:27 PM",3.649,81.1,64.8,0,2024-06-03T16:27:27.000Z
"6/3/2024, 12:32:27 PM",3.649,85.1,66,0,2024-06-03T16:32:27.000Z
"6/3/2024, 12:37:27 PM",3.649,87.6,67.4,0,2024-06-03T16:37:27.000Z
"6/3/2024, 12:42:27 PM",3.649,89.6,68.7,0,2024-06-03T16:42:27.000Z
"6/3/2024, 12:47:27 PM",3.649,91.4,69.8,0,2024-06-03T16:47:27.000Z
"6/3/2024, 12:52:27 PM",3.649,92.8,70.7,0,2024-06-03T16:52:27.000Z
"6/3/2024, 12:57:27 PM",3.649,94.5,71.5,0,2024-06-03T16:57:27.000Z
"6/3/2024, 1:02:27 PM",3.649,95.9,72.2,0,2024-06-03T17:02:27.000Z
"6/3/2024, 1:07:27 PM",3.649,97,72.7,0,2024-06-03T17:07:27.000Z
"6/3/2024, 1:12:27 PM",3.649,97.5,73.1,0,2024-06-03T17:12:27.000Z
"6/3/2024, 1:17:27 PM",3.649,98.4,73.4,0,2024-06-03T17:17:27.000Z
"6/3/2024, 1:22:27 PM",3.649,98.4,73.7,0,2024-06-03T17:22:27.000Z
"6/3/2024, 1:27:27 PM",3.649,98.6,73.8,0,2024-06-03T17:27:27.000Z
"6/3/2024, 1:32:27 PM",3.649,99.1,74,0,2024-06-03T17:32:27.000Z
"6/3/2024, 1:37:27 PM",3.648,99.9,74.1,0,2024-06-03T17:37:27.000Z
"6/3/2024, 1:42:27 PM",3.649,100.8,74.2,0,2024-06-03T17:42:27.000Z
"6/3/2024, 1:47:27 PM",3.649,101.5,74.3,0,2024-06-03T17:47:27.000Z
"6/3/2024, 1:52:27 PM",3.649,102.2,74.4,0,2024-06-03T17:52:27.000Z
"6/3/2024, 1:57:27 PM",3.648,102.2,74.3,0,2024-06-03T17:57:27.000Z
"6/3/2024, 2:02:27 PM",3.648,102.4,74.1,0,2024-06-03T18:02:27.000Z
"6/3/2024, 2:07:27 PM",3.648,102.7,73.9,0,2024-06-03T18:07:27.000Z
"6/3/2024, 2:12:27 PM",3.648,103.1,73.7,0,2024-06-03T18:12:27.000Z
"6/3/2024, 2:17:27 PM",3.648,103.5,73.5,0,2024-06-03T18:17:27.000Z
"6/3/2024, 2:22:27 PM",3.649,103.6,73.3,1,2024-06-03T18:22:27.000Z
"6/3/2024, 2:27:27 PM",3.648,104,73.2,1,2024-06-03T18:27:27.000Z
"6/3/2024, 2:32:27 PM",3.649,104.2,73,0,2024-06-03T18:32:27.000Z
"6/3/2024, 2:37:27 PM",3.648,104.5,72.8,1,2024-06-03T18:37:27.000Z
"6/3/2024, 2:42:27 PM",3.649,104.5,72.7,1,2024-06-03T18:42:27.000Z
"6/3/2024, 2:47:27 PM",3.648,104.2,72.5,1,2024-06-03T18:47:27.000Z
"6/3/2024, 2:52:27 PM",3.648,104.4,72.4,0,2024-06-03T18:52:27.000Z
"6/3/2024, 2:57:27 PM",3.649,103.8,72.3,1,2024-06-03T18:57:27.000Z
"6/3/2024, 3:02:27 PM",3.649,103.8,72.3,0,2024-06-03T19:02:27.000Z
"6/3/2024, 3:07:27 PM",3.649,104.2,72.1,1,2024-06-03T19:07:27.000Z
"6/3/2024, 3:12:27 PM",3.649,104.5,72.1,1,2024-06-03T19:12:27.000Z
"6/3/2024, 3:17:27 PM",3.649,105.1,72.1,0,2024-06-03T19:17:27.000Z
"6/3/2024, 3:22:27 PM",3.649,105.6,72.1,1,2024-06-03T19:22:27.000Z
"6/3/2024, 3:27:27 PM",3.648,106,72.1,1,2024-06-03T19:27:27.000Z
"6/3/2024, 3:32:27 PM",3.649,105.8,71.9,1,2024-06-03T19:32:27.000Z
"6/3/2024, 3:37:27 PM",3.649,105.8,71.7,1,2024-06-03T19:37:27.000Z
"6/3/2024, 3:42:27 PM",3.649,104.9,71.4,1,2024-06-03T19:42:27.000Z
"6/3/2024, 3:47:27 PM",3.649,105.1,71.2,1,2024-06-03T19:47:27.000Z
"6/3/2024, 3:52:27 PM",3.649,105.4,71,0,2024-06-03T19:52:27.000Z
"6/3/2024, 3:57:27 PM",3.649,105.1,71,0,2024-06-03T19:57:27.000Z
"6/3/2024, 4:02:27 PM",3.65,105.1,70.9,0,2024-06-03T20:02:27.000Z
"6/3/2024, 4:07:27 PM",3.65,104.7,70.8,0,2024-06-03T20:07:27.000Z
"6/3/2024, 4:12:27 PM",3.65,104.5,70.8,0,2024-06-03T20:12:27.000Z
"6/3/2024, 4:17:27 PM",3.65,104.9,70.9,0,2024-06-03T20:17:27.000Z
"6/3/2024, 4:22:27 PM",3.651,105.8,70.7,0,2024-06-03T20:22:27.000Z
"6/3/2024, 4:27:27 PM",3.65,106.3,70.6,0,2024-06-03T20:27:27.000Z
"6/3/2024, 4:32:27 PM",3.65,106.5,70.5,0,2024-06-03T20:32:27.000Z
"6/3/2024, 4:37:27 PM",3.65,107.1,70.2,0,2024-06-03T20:37:27.000Z
"6/3/2024, 4:42:27 PM",3.65,107.4,69.9,0,2024-06-03T20:42:27.000Z
"6/3/2024, 4:47:27 PM",3.65,108,69.3,0,2024-06-03T20:47:27.000Z
"6/3/2024, 4:52:27 PM",3.649,108.1,68.9,0,2024-06-03T20:52:27.000Z
"6/3/2024, 4:57:27 PM",3.65,107.6,68.6,1,2024-06-03T20:57:27.000Z
"6/3/2024, 5:02:27 PM",3.65,106.2,68.5,1,2024-06-03T21:02:27.000Z
"6/3/2024, 5:07:27 PM",3.65,106,68.5,1,2024-06-03T21:07:27.000Z
"6/3/2024, 5:12:27 PM",3.65,106.7,68.4,0,2024-06-03T21:12:27.000Z
"6/3/2024, 5:17:27 PM",3.65,107.4,68.4,0,2024-06-03T21:17:27.000Z
"6/3/2024, 5:22:27 PM",3.65,108,68.3,0,2024-06-03T21:22:27.000Z
"6/3/2024, 5:27:27 PM",3.65,108.9,68,0,2024-06-03T21:27:27.000Z
"6/3/2024, 5:32:27 PM",3.65,109.4,67.4,0,2024-06-03T21:32:27.000Z
"6/3/2024, 5:37:27 PM",3.65,109.8,66.7,0,2024-06-03T21:37:27.000Z
"6/3/2024, 5:42:27 PM",3.65,110.1,66.1,0,2024-06-03T21:42:27.000Z
"6/3/2024, 5:47:27 PM",3.65,110.3,65.6,0,2024-06-03T21:47:27.000Z
"6/3/2024, 5:52:27 PM",3.65,110.5,65.2,0,2024-06-03T21:52:27.000Z
"6/3/2024, 5:57:27 PM",3.65,110.8,64.6,0,2024-06-03T21:57:27.000Z
"6/3/2024, 6:02:27 PM",3.65,110.1,64.1,0,2024-06-03T22:02:27.000Z
"6/3/2024, 6:07:27 PM",3.65,110.8,63.7,0,2024-06-03T22:07:27.000Z
"6/3/2024, 6:12:27 PM",3.65,111.9,63.3,0,2024-06-03T22:12:27.000Z
"6/3/2024, 6:17:27 PM",3.65,113.4,62.8,0,2024-06-03T22:17:27.000Z
"6/3/2024, 6:22:27 PM",3.65,114.3,62.2,0,2024-06-03T22:22:27.000Z
"6/3/2024, 6:27:27 PM",3.65,115.5,61.4,0,2024-06-03T22:27:27.000Z
"6/3/2024, 6:32:27 PM",3.649,116.6,60.6,0,2024-06-03T22:32:27.000Z
"6/3/2024, 6:37:27 PM",3.649,117.1,59.8,0,2024-06-03T22:37:27.000Z
"6/3/2024, 6:42:27 PM",3.649,117.3,59.1,0,2024-06-03T22:42:27.000Z
"6/3/2024, 6:47:27 PM",3.649,117,58.3,1,2024-06-03T22:47:27.000Z
"6/3/2024, 6:52:27 PM",3.649,115.3,57.7,1,2024-06-03T22:52:27.000Z
"6/3/2024, 6:57:27 PM",3.65,114.8,57.5,1,2024-06-03T22:57:27.000Z
"6/3/2024, 7:02:27 PM",3.65,114.1,57.3,1,2024-06-03T23:02:27.000Z
"6/3/2024, 7:07:27 PM",3.65,114.1,57.2,0,2024-06-03T23:07:27.000Z
"6/3/2024, 7:12:27 PM",3.65,111.4,57.1,1,2024-06-03T23:12:27.000Z
"6/3/2024, 7:17:27 PM",3.651,108,57.2,0,2024-06-03T23:17:27.000Z
"6/3/2024, 7:22:27 PM",3.651,105.4,57.7,0,2024-06-03T23:22:27.000Z
"6/3/2024, 7:27:27 PM",3.652,103.5,58.3,0,2024-06-03T23:27:27.000Z
"6/3/2024, 7:32:27 PM",3.653,101.8,59,0,2024-06-03T23:32:27.000Z
"6/3/2024, 7:37:27 PM",3.653,100.4,59.7,0,2024-06-03T23:37:27.000Z
"6/3/2024, 7:42:27 PM",3.653,99.1,60.4,0,2024-06-03T23:42:27.000Z
"6/3/2024, 7:47:27 PM",3.653,98.1,61.1,0,2024-06-03T23:47:27.000Z
"6/3/2024, 7:52:27 PM",3.654,97,61.7,0,2024-06-03T23:52:27.000Z
"6/3/2024, 7:57:27 PM",3.654,96.1,62.4,0,2024-06-03T23:57:27.000Z
"6/3/2024, 8:02:27 PM",3.655,95.4,63,0,2024-06-04T00:02:27.000Z
"6/3/2024, 8:07:27 PM",3.655,94.6,63.6,0,2024-06-04T00:07:27.000Z
"6/3/2024, 8:12:27 PM",3.655,93.9,64.2,0,2024-06-04T00:12:27.000Z
"6/3/2024, 8:17:27 PM",3.655,93,64.8,0,2024-06-04T00:17:27.000Z
"6/3/2024, 8:22:27 PM",3.655,92.1,65.3,0,2024-06-04T00:22:27.000Z
"6/3/2024, 8:27:27 PM",3.655,91.4,65.8,0,2024-06-04T00:27:27.000Z
"6/3/2024, 8:32:27 PM",3.656,90.5,66.3,0,2024-06-04T00:32:27.000Z
"6/3/2024, 8:37:27 PM",3.656,89.8,66.8,0,2024-06-04T00:37:27.000Z
"6/3/2024, 8:42:27 PM",3.656,89.2,67.2,0,2024-06-04T00:42:27.000Z
"6/3/2024, 8:47:27 PM",3.657,88.5,67.6,0,2024-06-04T00:47:27.000Z
"6/3/2024, 8:52:27 PM",3.656,88,68,0,2024-06-04T00:52:27.000Z
"6/3/2024, 8:57:27 PM",3.657,87.3,68.5,0,2024-06-04T00:57:27.000Z
"6/3/2024, 9:02:27 PM",3.657,86.7,68.9,0,2024-06-04T01:02:27.000Z
"6/3/2024, 9:07:27 PM",3.657,86.4,69.3,0,2024-06-04T01:07:27.000Z
"6/3/2024, 9:12:27 PM",3.657,85.8,69.6,0,2024-06-04T01:12:27.000Z
"6/3/2024, 9:17:27 PM",3.657,85.3,70,0,2024-06-04T01:17:27.000Z
"6/3/2024, 9:22:27 PM",3.657,84.9,70.4,0,2024-06-04T01:22:27.000Z
"6/3/2024, 9:27:27 PM",3.657,84.6,70.7,0,2024-06-04T01:27:27.000Z
"6/3/2024, 9:32:27 PM",3.657,84.2,71,0,2024-06-04T01:32:27.000Z
"6/3/2024, 9:37:27 PM",3.657,83.8,71.4,0,2024-06-04T01:37:27.000Z
"6/3/2024, 9:42:27 PM",3.658,83.5,71.7,0,2024-06-04T01:42:27.000Z
"6/3/2024, 9:47:27 PM",3.658,83.3,72,0,2024-06-04T01:47:27.000Z
"6/3/2024, 9:52:27 PM",3.658,82.9,72.4,0,2024-06-04T01:52:27.000Z
"6/3/2024, 9:57:27 PM",3.657,82.8,72.7,0,2024-06-04T01:57:27.000Z
"6/3/2024, 10:02:27 PM",3.658,82.6,73,0,2024-06-04T02:02:27.000Z
"6/3/2024, 10:07:27 PM",3.658,82.4,73.3,0,2024-06-04T02:07:27.000Z
"6/3/2024, 10:12:27 PM",3.658,82.2,73.6,0,2024-06-04T02:12:27.000Z
"6/3/2024, 10:17:27 PM",3.657,82,73.9,0,2024-06-04T02:17:27.000Z
"6/3/2024, 10:22:27 PM",3.658,81.9,74.2,0,2024-06-04T02:22:27.000Z
"6/3/2024, 10:27:27 PM",3.658,81.7,74.5,0,2024-06-04T02:27:27.000Z
"6/3/2024, 10:32:27 PM",3.658,81.5,74.8,0,2024-06-04T02:32:27.000Z
"6/3/2024, 10:37:27 PM",3.658,81.3,75,0,2024-06-04T02:37:27.000Z
"6/3/2024, 10:42:27 PM",3.658,81.3,75.3,0,2024-06-04T02:42:27.000Z
"6/3/2024, 10:47:27 PM",3.658,81.1,75.6,0,2024-06-04T02:47:27.000Z
"6/3/2024, 10:52:27 PM",3.658,81,75.8,0,2024-06-04T02:52:27.000Z
"6/3/2024, 10:57:27 PM",3.658,80.8,76.1,0,2024-06-04T02:57:27.000Z
"6/3/2024, 11:02:27 PM",3.658,80.6,76.3,0,2024-06-04T03:02:27.000Z
"6/3/2024, 11:07:27 PM",3.658,80.6,76.6,0,2024-06-04T03:07:27.000Z
"6/3/2024, 11:12:27 PM",3.658,80.4,76.8,0,2024-06-04T03:12:27.000Z
"6/3/2024, 11:17:27 PM",3.658,80.4,77.1,0,2024-06-04T03:17:27.000Z
"6/3/2024, 11:22:27 PM",3.658,80.2,77.3,0,2024-06-04T03:22:27.000Z
"6/3/2024, 11:27:27 PM",3.658,80.2,77.5,0,2024-06-04T03:27:27.000Z
"6/3/2024, 11:32:27 PM",3.658,80.2,77.8,0,2024-06-04T03:32:27.000Z
"6/3/2024, 11:37:27 PM",3.658,80.2,78,0,2024-06-04T03:37:27.000Z
"6/3/2024, 11:42:27 PM",3.658,80.2,78.2,0,2024-06-04T03:42:27.000Z
"6/3/2024, 11:47:27 PM",3.658,80.2,78.4,0,2024-06-04T03:47:27.000Z
"6/3/2024, 11:52:27 PM",3.658,80.1,78.6,0,2024-06-04T03:52:27.000Z
"6/3/2024, 11:57:27 PM",3.658,80.1,78.8,0,2024-06-04T03:57:27.000Z
"6/4/2024, 12:02:27 AM",3.657,79.9,79,0,2024-06-04T04:02:27.000Z
"6/4/2024, 12:07:27 AM",3.658,79.7,79.2,0,2024-06-04T04:07:27.000Z
"6/4/2024, 12:12:27 AM",3.658,79.5,79.4,0,2024-06-04T04:12:27.000Z
"6/4/2024, 12:17:27 AM",3.658,79.5,79.6,0,2024-06-04T04:17:27.000Z
"6/4/2024, 12:22:27 AM",3.658,79.3,79.8,0,2024-06-04T04:22:27.000Z
"6/4/2024, 12:27:27 AM",3.658,79.3,80,0,2024-06-04T04:27:27.000Z
"6/4/2024, 12:32:27 AM",3.658,79.3,80.2,0,2024-06-04T04:32:27.000Z
"6/4/2024, 12:37:27 AM",3.659,79.2,80.3,0,2024-06-04T04:37:27.000Z
"6/4/2024, 12:42:27 AM",3.658,79.2,80.5,0,2024-06-04T04:42:27.000Z
"6/4/2024, 12:47:27 AM",3.658,79.2,80.7,0,2024-06-04T04:47:27.000Z
"6/4/2024, 12:52:27 AM",3.658,79.2,80.9,0,2024-06-04T04:52:27.000Z
"6/4/2024, 12:57:27 AM",3.658,79.2,81,0,2024-06-04T04:57:27.000Z
"6/4/2024, 1:02:27 AM",3.658,79,81.2,0,2024-06-04T05:02:27.000Z
"6/4/2024, 1:07:27 AM",3.658,79,81.4,0,2024-06-04T05:07:27.000Z
"6/4/2024, 1:12:27 AM",3.658,79,81.5,0,2024-06-04T05:12:27.000Z
"6/4/2024, 1:17:27 AM",3.658,78.8,81.7,0,2024-06-04T05:17:27.000Z
"6/4/2024, 1:22:27 AM",3.658,78.8,81.8,0,2024-06-04T05:22:27.000Z
"6/4/2024, 1:27:27 AM",3.658,78.8,82,0,2024-06-04T05:27:27.000Z
"6/4/2024, 1:32:27 AM",3.658,78.8,82.1,0,2024-06-04T05:32:27.000Z
"6/4/2024, 1:37:27 AM",3.658,78.6,82.3,0,2024-06-04T05:37:27.000Z
"6/4/2024, 1:42:27 AM",3.658,78.6,82.5,0,2024-06-04T05:42:27.000Z
"6/4/2024, 1:47:27 AM",3.658,78.6,82.6,0,2024-06-04T05:47:27.000Z
"6/4/2024, 1:52:27 AM",3.658,78.6,82.7,0,2024-06-04T05:52:27.000Z
"6/4/2024, 1:57:27 AM",3.658,78.6,82.9,0,2024-06-04T05:57:27.000Z
"6/4/2024, 2:02:27 AM",3.658,78.6,83,0,2024-06-04T06:02:27.000Z
"6/4/2024, 2:07:27 AM",3.658,78.6,83.1,0,2024-06-04T06:07:27.000Z
"6/4/2024, 2:12:27 AM",3.658,78.6,83.2,0,2024-06-04T06:12:27.000Z
"6/4/2024, 2:17:27 AM",3.658,78.6,83.4,0,2024-06-04T06:17:27.000Z
"6/4/2024, 2:22:27 AM",3.658,78.6,83.5,0,2024-06-04T06:22:27.000Z
"6/4/2024, 2:27:27 AM",3.658,78.6,83.7,0,2024-06-04T06:27:27.000Z
"6/4/2024, 2:32:27 AM",3.658,78.6,83.8,0,2024-06-04T06:32:27.000Z
"6/4/2024, 2:37:27 AM",3.658,78.6,83.9,0,2024-06-04T06:37:27.000Z
"6/4/2024, 2:42:27 AM",3.658,78.6,84,0,2024-06-04T06:42:27.000Z
"6/4/2024, 2:47:27 AM",3.658,78.6,84.2,0,2024-06-04T06:47:27.000Z
"6/4/2024, 2:52:27 AM",3.658,78.6,84.3,0,2024-06-04T06:52:27.000Z
"6/4/2024, 2:57:27 AM",3.658,78.4,84.4,0,2024-06-04T06:57:27.000Z
"6/4/2024, 3:02:27 AM",3.658,78.4,84.5,0,2024-06-04T07:02:27.000Z
"6/4/2024, 3:07:27 AM",3.658,78.3,84.6,0,2024-06-04T07:07:27.000Z
"6/4/2024, 3:12:27 AM",3.658,78.3,84.7,0,2024-06-04T07:12:27.000Z
"6/4/2024, 3:17:27 AM",3.658,78.1,84.8,0,2024-06-04T07:17:27.000Z
"6/4/2024, 3:22:27 AM",3.658,78.1,84.9,0,2024-06-04T07:22:27.000Z
"6/4/2024, 3:27:27 AM",3.658,77.9,85,0,2024-06-04T07:27:27.000Z
"6/4/2024, 3:32:27 AM",3.658,77.9,85.1,0,2024-06-04T07:32:27.000Z
"6/4/2024, 3:37:27 AM",3.658,77.7,85.2,0,2024-06-04T07:37:27.000Z
"6/4/2024, 3:42:27 AM",3.658,77.7,85.3,0,2024-06-04T07:42:27.000Z
"6/4/2024, 3:47:27 AM",3.658,77.7,85.4,0,2024-06-04T07:47:27.000Z
"6/4/2024, 3:52:27 AM",3.658,77.7,85.5,0,2024-06-04T07:52:27.000Z
"6/4/2024, 3:57:27 AM",3.658,77.7,85.6,0,2024-06-04T07:57:27.000Z
"6/4/2024, 4:02:27 AM",3.658,77.7,85.7,0,2024-06-04T08:02:27.000Z
"6/4/2024, 4:07:27 AM",3.657,77.7,85.8,0,2024-06-04T08:07:27.000Z
"6/4/2024, 4:12:27 AM",3.658,77.7,85.9,0,2024-06-04T08:12:27.000Z
"6/4/2024, 4:17:27 AM",3.658,77.7,86,0,2024-06-04T08:17:27.000Z
"6/4/2024, 4:22:27 AM",3.658,77.5,86.1,0,2024-06-04T08:22:27.000Z
"6/4/2024, 4:27:27 AM",3.658,77.5,86.2,0,2024-06-04T08:27:27.000Z
"6/4/2024, 4:32:27 AM",3.658,77.5,86.3,0,2024-06-04T08:32:27.000Z
"6/4/2024, 4:37:27 AM",3.658,77.4,86.4,0,2024-06-04T08:37:27.000Z
"6/4/2024, 4:42:27 AM",3.658,77.4,86.5,0,2024-06-04T08:42:27.000Z
"6/4/2024, 4:47:27 AM",3.658,77.4,86.6,0,2024-06-04T08:47:27.000Z
"6/4/2024, 4:52:27 AM",3.658,77.4,86.7,0,2024-06-04T08:52:27.000Z
"6/4/2024, 4:57:27 AM",3.658,77.4,86.8,0,2024-06-04T08:57:27.000Z
"6/4/2024, 5:02:27 AM",3.658,77.4,86.9,0,2024-06-04T09:02:27.000Z
"6/4/2024, 5:07:27 AM",3.658,77.4,86.9,0,2024-06-04T09:07:27.000Z
"6/4/2024, 5:12:27 AM",3.658,77.4,87,0,2024-06-04T09:12:27.000Z
"6/4/2024, 5:17:27 AM",3.658,77.4,87,0,2024-06-04T09:17:27.000Z
"6/4/2024, 5:22:27 AM",3.658,77.4,87.1,0,2024-06-04T09:22:27.000Z
"6/4/2024, 5:27:27 AM",3.658,77.4,87.2,0,2024-06-04T09:27:27.000Z
"6/4/2024, 5:32:27 AM",3.658,77.2,87.3,0,2024-06-04T09:32:27.000Z
"6/4/2024, 5:37:27 AM",3.658,77.2,87.4,0,2024-06-04T09:37:27.000Z
"6/4/2024, 5:42:27 AM",3.658,77.2,87.5,0,2024-06-04T09:42:27.000Z
"6/4/2024, 5:47:27 AM",3.658,77.2,87.5,0,2024-06-04T09:47:27.000Z
"6/4/2024, 5:52:27 AM",3.658,77.2,87.6,0,2024-06-04T09:52:27.000Z
"6/4/2024, 5:57:27 AM",3.658,77.2,87.7,0,2024-06-04T09:57:27.000Z
"6/4/2024, 6:02:27 AM",3.658,77.2,87.8,0,2024-06-04T10:02:27.000Z
"6/4/2024, 6:07:27 AM",3.658,77,87.8,0,2024-06-04T10:07:27.000Z
"6/4/2024, 6:12:27 AM",3.658,77,87.9,0,2024-06-04T10:12:27.000Z
"6/4/2024, 6:17:27 AM",3.658,77,88,0,2024-06-04T10:17:27.000Z
"6/4/2024, 6:22:27 AM",3.658,77,88.1,0,2024-06-04T10:22:27.000Z
"6/4/2024, 6:27:27 AM",3.658,77.2,88.1,0,2024-06-04T10:27:27.000Z
"6/4/2024, 6:32:27 AM",3.658,77.2,88.2,0,2024-06-04T10:32:27.000Z
"6/4/2024, 6:37:27 AM",3.658,77.4,88.3,0,2024-06-04T10:37:27.000Z
"6/4/2024, 6:42:27 AM",3.658,77.5,88.4,0,2024-06-04T10:42:27.000Z
"6/4/2024, 6:47:27 AM",3.658,77.7,88.4,0,2024-06-04T10:47:27.000Z
"6/4/2024, 6:52:27 AM",3.658,77.9,88.5,0,2024-06-04T10:52:27.000Z
"6/4/2024, 6:57:27 AM",3.658,77.9,88.6,0,2024-06-04T10:57:27.000Z
"6/4/2024, 7:02:27 AM",3.658,78.1,88.7,0,2024-06-04T11:02:27.000Z
"6/4/2024, 7:07:27 AM",3.658,78.4,88.7,0,2024-06-04T11:07:27.000Z
"6/4/2024, 7:12:27 AM",3.658,78.4,88.8,0,2024-06-04T11:12:27.000Z
"6/4/2024, 7:17:27 AM",3.658,78.8,88.9,0,2024-06-04T11:17:27.000Z
"6/4/2024, 7:22:27 AM",3.658,79,89,0,2024-06-04T11:22:27.000Z
"6/4/2024, 7:27:27 AM",3.658,79.2,89,0,2024-06-04T11:27:27.000Z
"6/4/2024, 7:32:27 AM",3.658,79.5,89.1,0,2024-06-04T11:32:27.000Z
"6/4/2024, 7:37:27 AM",3.658,79.9,89.2,0,2024-06-04T11:37:27.000Z
"6/4/2024, 7:42:27 AM",3.658,80.2,89.2,0,2024-06-04T11:42:27.000Z
"6/4/2024, 7:47:27 AM",3.658,80.6,89.3,0,2024-06-04T11:47:27.000Z
"6/4/2024, 7:52:27 AM",3.658,81.1,89.4,0,2024-06-04T11:52:27.000Z
"6/4/2024, 7:57:27 AM",3.658,81.7,89.5,0,2024-06-04T11:57:27.000Z
"6/4/2024, 8:02:27 AM",3.658,82.2,89.6,0,2024-06-04T12:02:27.000Z
"6/4/2024, 8:07:27 AM",3.657,82.8,89.7,0,2024-06-04T12:07:27.000Z
"6/4/2024, 8:12:27 AM",3.657,83.3,89.7,0,2024-06-04T12:12:27.000Z
"6/4/2024, 8:17:27 AM",3.657,83.8,89.8,0,2024-06-04T12:17:27.000Z
"6/4/2024, 8:22:27 AM",3.658,84.4,89.9,0,2024-06-04T12:22:27.000Z
"6/4/2024, 8:27:27 AM",3.657,85.1,89.9,0,2024-06-04T12:27:27.000Z
"6/4/2024, 8:32:27 AM",3.657,85.6,90,0,2024-06-04T12:32:27.000Z
"6/4/2024, 8:37:27 AM",3.657,86.2,90.1,0,2024-06-04T12:37:27.000Z
"6/4/2024, 8:42:27 AM",3.658,86.7,90.2,0,2024-06-04T12:42:27.000Z
"6/4/2024, 8:47:27 AM",3.657,87.3,90.2,0,2024-06-04T12:47:27.000Z
"6/4/2024, 8:52:27 AM",3.657,87.8,90.3,0,2024-06-04T12:52:27.000Z
"6/4/2024, 8:57:27 AM",3.657,88.3,90.4,0,2024-06-04T12:57:27.000Z
"6/4/2024, 9:02:27 AM",3.657,88.9,90.4,0,2024-06-04T13:02:27.000Z
"6/4/2024, 9:07:27 AM",3.657,89.2,90.4,0,2024-06-04T13:07:27.000Z
"6/4/2024, 9:12:27 AM",3.657,89.6,90.5,0,2024-06-04T13:12:27.000Z
"6/4/2024, 9:17:27 AM",3.656,90,90.6,0,2024-06-04T13:17:27.000Z
"6/4/2024, 9:22:27 AM",3.657,90.3,90.6,0,2024-06-04T13:22:27.000Z
"6/4/2024, 9:27:27 AM",3.657,90.5,90.7,0,2024-06-04T13:27:27.000Z
"6/4/2024, 9:32:27 AM",3.656,90.9,90.8,0,2024-06-04T13:32:27.000Z
"6/4/2024, 9:37:27 AM",3.657,91.2,90.8,0,2024-06-04T13:37:27.000Z
"6/4/2024, 9:42:27 AM",3.657,91.6,90.9,0,2024-06-04T13:42:27.000Z
"6/4/2024, 9:47:27 AM",3.656,91.8,90.9,0,2024-06-04T13:47:27.000Z
"6/4/2024, 9:52:27 AM",3.656,92.1,90.9,1,2024-06-04T13:52:27.000Z
"6/4/2024, 9:57:27 AM",3.657,92.3,91,1,2024-06-04T13:57:27.000Z
"6/4/2024, 10:02:27 AM",3.657,92.7,91,1,2024-06-04T14:02:27.000Z
"6/4/2024, 10:07:27 AM",3.656,92.7,91.1,1,2024-06-04T14:07:27.000Z
"6/4/2024, 10:12:27 AM",3.656,92.8,91.1,1,2024-06-04T14:12:27.000Z
"6/4/2024, 10:17:27 AM",3.656,93,91.2,1,2024-06-04T14:17:27.000Z
"6/4/2024, 10:22:27 AM",3.656,93,91.2,1,2024-06-04T14:22:27.000Z
"6/4/2024, 10:27:27 AM",3.657,93.2,91.2,1,2024-06-04T14:27:27.000Z
"6/4/2024, 10:32:27 AM",3.656,93.4,91.3,0,2024-06-04T14:32:27.000Z
"6/4/2024, 10:37:27 AM",3.656,93.6,91.3,1,2024-06-04T14:37:27.000Z
"6/4/2024, 10:42:27 AM",3.656,93.6,91.4,1,2024-06-04T14:42:27.000Z
"6/4/2024, 10:47:27 AM",3.656,93.6,91.5,1,2024-06-04T14:47:27.000Z
"6/4/2024, 10:52:27 AM",3.656,93.7,91.5,1,2024-06-04T14:52:27.000Z
"6/4/2024, 10:57:27 AM",3.657,93.9,91.5,1,2024-06-04T14:57:27.000Z
"6/4/2024, 11:02:27 AM",3.656,94.1,91.6,1,2024-06-04T15:02:27.000Z
"6/4/2024, 11:07:27 AM",3.656,94.6,91.6,1,2024-06-04T15:07:27.000Z
"6/4/2024, 11:12:27 AM",3.656,95.2,91.7,1,2024-06-04T15:12:27.000Z
"6/4/2024, 11:17:27 AM",3.656,95.7,91.7,1,2024-06-04T15:17:27.000Z
"6/4/2024, 11:22:27 AM",3.656,96.3,91.7,1,2024-06-04T15:22:27.000Z
"6/4/2024, 11:27:27 AM",3.656,96.6,91.7,1,2024-06-04T15:27:27.000Z
"6/4/2024, 11:32:27 AM",3.656,97,91.7,1,2024-06-04T15:32:27.000Z
"6/4/2024, 11:37:27 AM",3.656,97.5,91.7,1,2024-06-04T15:37:27.000Z
"6/4/2024, 11:42:27 AM",3.655,97.9,91.6,1,2024-06-04T15:42:27.000Z
"6/4/2024, 11:47:27 AM",3.656,98.1,91.6,2,2024-06-04T15:47:27.000Z
